Current Accounts Summaries

Personal Account (EUR)
Account number,LT313250048123456789
Financial institution name,Revolut Bank UAB
Holding modalities,Individual

"Transaction statement from Jan 1, 2025 to Jun 30, 2026"
Date,Description,Category,Money in/out,Balance,Tax withheld,Other taxes,Fees
"Jan 22, 2026",Sushi Daily,Restaurants,-46.46,"1,616.33",,,
"Feb 4, 2026",Lidl,Groceries,-18.22,"1,598.11",,,
"Feb 6, 2026",Top-Up by *4523,Transfers,300.00,"1,898.11",,,
"Feb 6, 2026",Trenord,Transport,-2.20,"1,895.91",,,
"Feb 11, 2026",Pizzeria Spontini,Restaurants,-42.40,"1,853.51",,,
"Feb 13, 2026",Trenord,Transport,-2.20,"1,851.31",,,
"Feb 14, 2026",Netflix.com,Entertainment,-12.99,"1,838.32",,,
"Feb 18, 2026",Carrefour Express,Groceries,-35.61,"1,802.71",,,
"Feb 19, 2026",Trenord,Transport,-2.20,"1,800.51",,,
"Feb 19, 2026",Trenord,Transport,-2.20,"1,798.31",,,
"Feb 20, 2026",Spotify,Entertainment,-10.99,"1,787.32",,,
"Feb 27, 2026",Sushi Daily,Restaurants,-32.36,"1,754.96",,,
"Mar 4, 2026",Carrefour Express,Groceries,-16.69,"1,738.27",,,
"Mar 6, 2026",Top-Up by *4523,Transfers,300.00,"2,038.27",,,
"Mar 7, 2026",Sushi Daily,Restaurants,-40.92,"1,997.35",,,
"Mar 11, 2026",Carrefour Express,Groceries,-44.90,"1,952.45",,,
"Mar 11, 2026",ATM Milano,Transport,-2.20,"1,950.25",,,
"Mar 12, 2026",ATM Milano,Transport,-2.20,"1,948.05",,,
"Mar 14, 2026",Netflix.com,Entertainment,-12.99,"1,935.06",,,
"Mar 15, 2026",Pizzeria Spontini,Restaurants,-54.00,"1,881.06",,,
"Mar 16, 2026",To Giulia Verdi,Transfers,-21.55,"1,859.51",,,
"Mar 20, 2026",Spotify,Entertainment,-10.99,"1,848.52",,,
"Mar 24, 2026",Bar Luce,Cafes,-49.14,"1,799.38",,,
"Apr 6, 2026",Top-Up by *4523,Transfers,300.00,"2,099.38",,,
"Apr 7, 2026",Trenord,Transport,-2.20,"2,097.18",,,
"Apr 12, 2026",Trenord,Transport,-2.20,"2,094.98",,,
"Apr 13, 2026",Bar Luce,Cafes,-42.69,"2,052.29",,,
"Apr 14, 2026",Netflix.com,Entertainment,-12.99,"2,039.30",,,
"Apr 20, 2026",Spotify,Entertainment,-10.99,"2,028.31",,,
"Apr 20, 2026",To Giulia Verdi,Transfers,-54.44,"1,973.87",,,
"Apr 22, 2026",Lidl,Groceries,-15.03,"1,958.84",,,
"Apr 22, 2026",Pizzeria Spontini,Restaurants,-38.73,"1,920.11",,,
"Apr 23, 2026",Penny Market,Groceries,-35.96,"1,884.15",,,
"Apr 23, 2026",Carrefour Express,Groceries,-39.02,"1,845.13",,,
"Apr 27, 2026",Sushi Daily,Restaurants,-29.28,"1,815.85",,,
"May 3, 2026",Trenord,Transport,-2.20,"1,813.65",,,
"May 6, 2026",Top-Up by *4523,Transfers,300.00,"2,113.65",,,
"May 9, 2026",To Giulia Verdi,Transfers,-58.57,"2,055.08",,,
"May 14, 2026",Netflix.com,Entertainment,-12.99,"2,042.09",,,
"May 16, 2026",Sushi Daily,Restaurants,-52.73,"1,989.36",,,
"May 19, 2026",Trenord,Transport,-2.20,"1,987.16",,,
"May 20, 2026",Spotify,Entertainment,-10.99,"1,976.17",,,
"May 21, 2026",Penny Market,Groceries,-23.10,"1,953.07",,,
"May 22, 2026",Penny Market,Groceries,-11.66,"1,941.41",,,
"May 23, 2026",ATM Milano,Transport,-2.20,"1,939.21",,,
"May 24, 2026",Pizzeria Spontini,Restaurants,-26.04,"1,913.17",,,
"May 25, 2026",Carrefour Express,Groceries,-34.88,"1,878.29",,,
"Jun 2, 2026",Carrefour Express,Groceries,-10.25,"1,868.04",,,
"Jun 4, 2026",Pizzeria Spontini,Restaurants,-23.82,"1,844.22",,,
"Jun 4, 2026",Pizzeria Spontini,Restaurants,-14.80,"1,829.42",,,
"Jun 5, 2026",Trenord,Transport,-2.20,"1,827.22",,,
"Jun 6, 2026",Top-Up by *4523,Transfers,300.00,"2,127.22",,,
"Jun 14, 2026",Netflix.com,Entertainment,-12.99,"2,114.23",,,
"Jun 14, 2026",Penny Market,Groceries,-23.77,"2,090.46",,,
"Jun 14, 2026",Trenord,Transport,-2.20,"2,088.26",,,
"Jun 16, 2026",Trenord,Transport,-2.20,"2,086.06",,,
"Jun 17, 2026",Lidl,Groceries,-34.36,"2,051.70",,,
"Jun 20, 2026",Spotify,Entertainment,-10.99,"2,040.71",,,
"Jun 22, 2026",ATM Milano,Transport,-2.20,"2,038.51",,,
---------
Joint Account (EUR)
Account number,LT313250048123456789
Financial institution name,Revolut Bank UAB
Holding modalities,Joint

"Transaction statement from Jan 1, 2025 to Jun 30, 2026"
Date,Description,Category,Money in/out,Balance,Tax withheld,Other taxes,Fees
"Jan 7, 2025",Carrefour Express,Groceries,-42.76,237.24,,,
"Jan 10, 2025",IKEA Carugate,Shopping,-49.01,188.23,,,
"Feb 15, 2025",Carrefour Express,Groceries,-26.86,161.37,,,
"Feb 25, 2025",Lidl,Groceries,-80.69,80.68,,,
"Mar 10, 2025",Penny Market,Groceries,-65.17,15.51,,,
"Mar 19, 2025",Penny Market,Groceries,-24.92,9.41,,,
"Apr 3, 2025",Carrefour Express,Groceries,-18.76,28.17,,,
"Apr 18, 2025",IKEA Carugate,Shopping,-83.95,112.12,,,
"May 8, 2025",Carrefour Express,Groceries,-66.56,178.68,,,
"May 11, 2025",Carrefour Express,Groceries,-60.36,239.04,,,
"Jun 9, 2025",Penny Market,Groceries,-16.77,255.81,,,
"Jun 13, 2025",IKEA Carugate,Shopping,-37.89,293.70,,,
"Jun 17, 2025",Lidl,Groceries,-31.68,325.38,,,
"Jul 23, 2025",Penny Market,Groceries,-21.36,346.74,,,
"Jul 27, 2025",IKEA Carugate,Shopping,-82.59,429.33,,,
"Aug 4, 2025",IKEA Carugate,Shopping,-68.52,497.85,,,
"Aug 10, 2025",Penny Market,Groceries,-40.19,538.04,,,
"Aug 22, 2025",IKEA Carugate,Shopping,-32.94,570.98,,,
"Sep 2, 2025",IKEA Carugate,Shopping,-71.18,642.16,,,
"Sep 10, 2025",IKEA Carugate,Shopping,-77.62,719.78,,,
"Sep 26, 2025",Carrefour Express,Groceries,-86.34,806.12,,,
"Oct 15, 2025",Penny Market,Groceries,-28.21,834.33,,,
"Oct 16, 2025",IKEA Carugate,Shopping,-47.67,882.00,,,
"Oct 21, 2025",Carrefour Express,Groceries,-75.61,957.61,,,
"Nov 8, 2025",Penny Market,Groceries,-70.40,"1,028.01",,,
"Nov 25, 2025",Carrefour Express,Groceries,-59.22,"1,087.23",,,
"Dec 11, 2025",IKEA Carugate,Shopping,-17.45,"1,104.68",,,
"Dec 16, 2025",IKEA Carugate,Shopping,-66.70,"1,171.38",,,
"Jan 4, 2026",IKEA Carugate,Shopping,-38.59,"1,209.97",,,
"Jan 24, 2026",IKEA Carugate,Shopping,-52.16,"1,262.13",,,
"Jan 26, 2026",IKEA Carugate,Shopping,-56.26,"1,318.39",,,
"Feb 3, 2026",IKEA Carugate,Shopping,-38.86,"1,357.25",,,
"Feb 12, 2026",IKEA Carugate,Shopping,-80.22,"1,437.47",,,
"Feb 20, 2026",Penny Market,Groceries,-43.72,"1,481.19",,,
"Mar 7, 2026",Penny Market,Groceries,-28.13,"1,509.32",,,
"Mar 20, 2026",IKEA Carugate,Shopping,-25.73,"1,535.05",,,
"Mar 21, 2026",IKEA Carugate,Shopping,-66.24,"1,601.29",,,
"Apr 7, 2026",Carrefour Express,Groceries,-34.27,"1,635.56",,,
"Apr 27, 2026",IKEA Carugate,Shopping,-37.14,"1,672.70",,,
"Apr 27, 2026",Carrefour Express,Groceries,-23.64,"1,696.34",,,
"May 3, 2026",Lidl,Groceries,-74.01,"1,770.35",,,
"May 6, 2026",Penny Market,Groceries,-74.02,"1,844.37",,,
"May 23, 2026",Lidl,Groceries,-30.91,"1,875.28",,,
"Jun 12, 2026",IKEA Carugate,Shopping,-77.06,"1,952.34",,,
"Jun 16, 2026",IKEA Carugate,Shopping,-81.61,"2,033.95",,,
---------
Savings Account (EUR)
This statement shows only interest receipt transactions
Date,Description,Gross rate,Gross amount,Tax,Tax rate,Fees,Net amount
"Jan 28, 2025",Gross interest,2.25%,1.24,0.00,0%,0.00,1.24
"Feb 28, 2025",Gross interest,2.25%,1.29,0.00,0%,0.00,1.29
"Mar 28, 2025",Gross interest,2.25%,1.89,0.00,0%,0.00,1.89
"Apr 28, 2025",Gross interest,2.25%,1.53,0.00,0%,0.00,1.53
"May 28, 2025",Gross interest,2.25%,1.82,0.00,0%,0.00,1.82
"Jun 28, 2025",Gross interest,2.25%,1.22,0.00,0%,0.00,1.22
"Jul 28, 2025",Gross interest,2.25%,1.51,0.00,0%,0.00,1.51
"Aug 28, 2025",Gross interest,2.25%,1.85,0.00,0%,0.00,1.85
"Sep 28, 2025",Gross interest,2.25%,1.10,0.00,0%,0.00,1.10
"Oct 28, 2025",Gross interest,2.25%,1.71,0.00,0%,0.00,1.71
"Nov 28, 2025",Gross interest,2.25%,1.73,0.00,0%,0.00,1.73
"Dec 28, 2025",Gross interest,2.25%,1.31,0.00,0%,0.00,1.31
"Jan 28, 2026",Gross interest,2.25%,1.34,0.00,0%,0.00,1.34
"Feb 28, 2026",Gross interest,2.25%,1.48,0.00,0%,0.00,1.48
"Mar 28, 2026",Gross interest,2.25%,1.47,0.00,0%,0.00,1.47
"Apr 28, 2026",Gross interest,2.25%,1.92,0.00,0%,0.00,1.92
"May 28, 2026",Gross interest,2.25%,1.23,0.00,0%,0.00,1.23
"Jun 28, 2026",Gross interest,2.25%,1.41,0.00,0%,0.00,1.41
---------
Crypto Statements (EUR)
This statement shows only sales transactions
"Date (of Sale, of Purchase)",Symbol,Quantity,"Price (of Sale, of Purchase)",Fees,"Value (of Sale, of Purchase)"
"15/03/2026, 10/01/2026",BTC,0.0016,"€93,750.00, €75,000.00",€0.00,"+ €150.00, - €120.00"
"02/05/2026, 08/02/2026",ETH,0.05,"€3,400.00, €2,900.00",€0.00,"+ €170.00, - €145.00"
---------
